stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F02458;Svábhegy;47.497928;18.989543;;;;1;12
F02459;Svábhegy;47.497730;18.989397;;;;1;27
F02460;Széll Kálmán tér M;47.506863;19.024178;;;;1;-50
F02461;Széll Kálmán tér M;47.506611;19.024390;;;;1;129
F02462;Széll Kálmán tér M;47.506441;19.024775;;;;1;-144
F02464;Széll Kálmán tér M;47.507403;19.024974;;;;1;90
F02465;Széll Kálmán tér M;47.507421;19.024722;;;;1;107
F02466;Széll Kálmán tér M;47.507376;19.025598;;;;1;98
F02469;Széll Kálmán tér M;47.506512;19.023912;;;;1;
F02470;Széll Kálmán tér M;47.506440;19.024258;;;;1;
F02473;Széll Kálmán tér M;47.506647;19.023912;;;;1;
F02476;Széll Kálmán tér M;47.507358;19.024496;;;;1;-82
F02477;Széll Kálmán tér M;47.507232;19.025186;;;;1;79
F02480;Széll Kálmán tér;47.506818;19.024895;F02480;;CSF02481;2;-137
F02481;Széll Kálmán tér;47.507533;19.026097;F02481;;CSF02481;2;45
F02482;Rendelőintézet;47.511176;19.005680;;;;2;-55
F02483;Rendelőintézet;47.510969;19.005852;;;;2;125
F02484;Hunyad köz;47.511435;18.981716;;;;2;-103
F02485;Hunyad köz;47.511282;18.981504;;;;2;75
F02486;Hunyad lejtő;47.510875;18.978650;;;;2;-104
F02487;Cinege út;47.510849;18.979088;;;;2;76
F02488;Csemegi utca;47.501645;19.018128;;;;1;-35
F02489;Normafa;47.503031;18.965619;;;;2;-49
F02490;Normafa;47.503004;18.965460;;;;2;121
F02492;Hajós Alfréd uszoda;47.519853;19.044234;;;;1;15
F02493;Hajós Alfréd uszoda;47.519862;19.044101;;;;1;-165
F02494;Palatinus fürdő;47.528074;19.047606;;;;1;18
F02495;Palatinus fürdő;47.527732;19.047247;;;;1;-162
F02496;Szabadtéri Színpad;47.530844;19.048934;;;;1;17
F02497;Szabadtéri Színpad;47.529990;19.048349;;;;2;-158
F02498;Szállodák (Hotels);47.533317;19.050873;;;;1;19
F02499;Szállodák (Hotels);47.533254;19.050660;;;;2;-148
F02500;Zenélőkút;47.535692;19.052506;;;;2;40
F02501;Zenélőkút;47.535944;19.052374;;;;2;-153
F02502;Margitsziget / Árpád híd;47.537185;19.054392;;;;2;110
F02503;Margitsziget / Árpád híd;47.537679;19.053728;;;;2;-70
F02504;Tisza utca;47.524161;19.058109;;;;1;-161
F02505;Parkmozi köz;47.522785;19.045282;;;;1;14
F02506;Parkmozi köz;47.522623;19.045096;;;;1;-166
F02507;Viza utca;47.530106;19.057645;;;;1;18
F02508;Viza utca;47.530718;19.057765;;;;1;-161
F02509;Dráva utca;47.525897;19.057817;;;;1;-70
F02510;Dráva utca;47.525726;19.057844;;;;1;110
